54,sweep-adamw-sam-wd003-dr01-s2718,adamw,1,0.03,0.1,2718,4.641262,1.508440,68.70m
55,sweep-adamw-sam-wd01-dr00-s42,adamw,1,0.1,0.0,42,4.644374,1.509439,68.59m
56,sweep-adamw-sam-wd01-dr00-s1337,adamw,1,0.1,0.0,1337,4.635455,1.506541,68.47m
57,sweep-adamw-sam-wd01-dr00-s2718,adamw,1,0.1,0.0,2718,4.638651,1.507587,68.45m
58,sweep-adamw-sam-wd01-dr01-s42,adamw,1,0.1,0.1,42,4.654715,1.512817,68.68m
59,sweep-adamw-sam-wd01-dr01-s1337,adamw,1,0.1,0.1,1337,4.652978,1.512246,68.81m
60,sweep-adamw-sam-wd01-dr01-s2718,adamw,1,0.1,0.1,2718,4.646713,1.510214,69.23m
61,sweep-adamw-sam-wd03-dr00-s42,adamw,1,0.3,0.0,42,4.736613,1.539411,68.19m
62,sweep-adamw-sam-wd03-dr00-s1337,adamw,1,0.3,0.0,1337,4.737434,1.539679,68.90m
63,sweep-adamw-sam-wd03-dr00-s2718,adamw,1,0.3,0.0,2718,4.722194,1.534725,68.48m
64,sweep-adamw-sam-wd03-dr01-s42,adamw,1,0.3,0.1,42,4.745388,1.542285,68.65m
67,sweep-adamw-sam-wd10-dr00-s42,adamw,1,1.0,0.0,42,4.916470,1.597877,68.18m
65,sweep-adamw-sam-wd03-dr01-s1337,adamw,1,0.3,0.1,1337,4.740952,1.540841,68.41m
68,sweep-adamw-sam-wd10-dr00-s1337,adamw,1,1.0,0.0,1337,4.942139,1.606209,69.36m
66,sweep-adamw-sam-wd03-dr01-s2718,adamw,1,0.3,0.1,2718,4.737366,1.539678,69.11m
69,sweep-adamw-sam-wd10-dr00-s2718,adamw,1,1.0,0.0,2718,4.929061,1.601964,68.54m
70,sweep-adamw-sam-wd10-dr01-s42,adamw,1,1.0,0.1,42,4.931650,1.602798,68.56m
72,sweep-adamw-sam-wd10-dr01-s2718,adamw,1,1.0,0.1,2718,4.927847,1.601559,68.97m
71,sweep-adamw-sam-wd10-dr01-s1337,adamw,1,1.0,0.1,1337,4.934837,1.603845,69.82m
73,sweep-muon-sam-wd003-dr00-s42,muon,1,0.03,0.0,42,3.990278,1.296845,67.11m
74,sweep-muon-sam-wd003-dr00-s1337,muon,1,0.03,0.0,1337,3.986196,1.295507,68.38m
75,sweep-muon-sam-wd003-dr00-s2718,muon,1,0.03,0.0,2718,3.989034,1.296440,69.17m
76,sweep-muon-sam-wd003-dr01-s42,muon,1,0.03,0.1,42,4.013693,1.304464,69.23m
77,sweep-muon-sam-wd003-dr01-s1337,muon,1,0.03,0.1,1337,4.010862,1.303542,67.67m
78,sweep-muon-sam-wd003-dr01-s2718,muon,1,0.03,0.1,2718,4.014055,1.304587,68.68m
79,sweep-muon-sam-wd01-dr00-s42,muon,1,0.1,0.0,42,3.962888,1.287939,67.59m
80,sweep-muon-sam-wd01-dr00-s1337,muon,1,0.1,0.0,1337,3.959776,1.286910,69.14m
81,sweep-muon-sam-wd01-dr00-s2718,muon,1,0.1,0.0,2718,3.962444,1.287792,67.37m
82,sweep-muon-sam-wd01-dr01-s42,muon,1,0.1,0.1,42,3.985996,1.295458,68.93m
83,sweep-muon-sam-wd01-dr01-s1337,muon,1,0.1,0.1,1337,3.983755,1.294720,70.21m
84,sweep-muon-sam-wd01-dr01-s2718,muon,1,0.1,0.1,2718,3.985076,1.295164,69.39m
85,sweep-muon-sam-wd03-dr00-s42,muon,1,0.3,0.0,42,3.958233,1.286424,68.26m
86,sweep-muon-sam-wd03-dr00-s1337,muon,1,0.3,0.0,1337,3.956806,1.285954,67.60m
87,sweep-muon-sam-wd03-dr00-s2718,muon,1,0.3,0.0,2718,3.955649,1.285581,69.59m
88,sweep-muon-sam-wd03-dr01-s42,muon,1,0.3,0.1,42,3.978783,1.293117,69.58m
89,sweep-muon-sam-wd03-dr01-s1337,muon,1,0.3,0.1,1337,3.979103,1.293194,67.98m
90,sweep-muon-sam-wd03-dr01-s2718,muon,1,0.3,0.1,2718,3.977758,1.292779,68.82m
91,sweep-muon-sam-wd10-dr00-s42,muon,1,1.0,0.0,42,4.043277,1.314065,68.16m
92,sweep-muon-sam-wd10-dr00-s1337,muon,1,1.0,0.0,1337,4.049517,1.316093,67.69m
93,sweep-muon-sam-wd10-dr00-s2718,muon,1,1.0,0.0,2718,4.043466,1.314125,68.87m
94,sweep-muon-sam-wd10-dr01-s42,muon,1,1.0,0.1,42,4.065124,1.321169,69.64m
95,sweep-muon-sam-wd10-dr01-s1337,muon,1,1.0,0.1,1337,4.069058,1.322441,68.64m
96,sweep-muon-sam-wd10-dr01-s2718,muon,1,1.0,0.1,2718,4.063031,1.320489,70.16m
